公告,#genre#
河南卫视,http://111.193.238.81:9999/rtp/239.3.1.50:8184
河北卫视,http://111.193.238.81:9999/rtp/239.3.1.148:8072
青海卫视,http://111.193.238.81:9999/rtp/239.3.1.44:8184
西藏卫视,http://111.193.238.81:9999/rtp/239.3.1.166:8188
三沙卫视,http://111.193.238.81:9999/rtp/239.3.1.155:4120
山东教育卫视,http://111.193.238.81:9999/rtp/239.3.1.52:4120
重庆卫视,http://114.248.10.25:8888/rtp/239.3.1.122:8160
江苏卫视,http://114.248.10.25:8888/rtp/239.3.1.135:8028
浙江卫视,http://114.248.10.25:8888/rtp/239.3.1.137:8036
东方卫视,http://114.248.10.25:8888/rtp/239.3.1.136:8032
深圳卫视,http://114.248.10.25:8888/rtp/239.3.1.134:8020
北京卫视,http://114.248.10.25:8888/rtp/239.3.1.241:8000
山东卫视,http://114.248.10.25:8888/rtp/239.3.1.209:8052
天津卫视,http://114.248.10.25:8888/rtp/239.3.1.141:1234
贵州卫视,http://114.248.10.25:8888/rtp/239.3.1.149:8076
四川卫视,http://114.248.10.25:8888/rtp/239.3.1.29:8288
云南卫视,http://114.248.10.25:8888/rtp/239.3.1.26:8108
广西卫视,http://114.248.10.25:8888/rtp/239.3.1.39:8300
黑龙江卫视,http://114.248.10.25:8888/rtp/239.3.1.133:8016
安徽卫视,http://114.248.10.25:8888/rtp/239.3.1.211:8064
山西卫视,http://114.248.10.25:8888/rtp/239.3.1.42:8172
江西卫视,http://114.248.10.25:8888/rtp/239.3.1.123:8164
湖北卫视,http://114.248.10.25:8888/rtp/239.3.1.138:8044
旅游卫视,http://114.248.10.25:8888/rtp/239.3.1.45:8304
陕西卫视,http://114.248.10.25:8888/rtp/239.3.1.41:8140
东南卫视,http://114.248.10.25:8888/rtp/239.3.1.156:8148
厦门卫视,http://114.248.10.25:8888/rtp/239.3.1.143:4120
吉林卫视,http://114.248.10.25:8888/rtp/239.3.1.240:8172
辽宁卫视,http://114.248.10.25:8888/rtp/239.3.1.210:8056
内蒙古卫视,http://114.248.10.25:8888/rtp/239.3.1.43:8176
湖南卫视,http://114.248.10.25:8888/rtp/239.3.1.132:8012
广东卫视,http://114.248.10.25:8888/rtp/239.3.1.142:8048
河南卫视,http://114.248.10.25:8888/rtp/239.3.1.50:8184
河北卫视,http://114.248.10.25:8888/rtp/239.3.1.148:8072
青海卫视,http://114.248.10.25:8888/rtp/239.3.1.44:8184
西藏卫视,http://114.248.10.25:8888/rtp/239.3.1.166:8188
三沙卫视,http://114.248.10.25:8888/rtp/239.3.1.155:4120
山东教育卫视,http://114.248.10.25:8888/rtp/239.3.1.52:4120
重庆卫视,http://123.120.140.242:4023/rtp/239.3.1.122:8160
江苏卫视,http://123.120.140.242:4023/rtp/239.3.1.135:8028
